"","Review_No.","Brand","type_of_ramen","Style","Country","Stars"
"71",71,"Nissin","Demae Ramen Satay","Pack","Japan",2.5
"72",72,"Nissin","Demae Ramen Tonkatsu Artificial Pork","Pack","Japan",3.5
"73",73,"Nissin","Demae Ramen Five Spices Artificial Beef","Pack","Japan",3.5
"74",74,"Nissin","Demae Ramen Shoyu","Pack","Japan",4
"75",75,"Indomie","Mi Goreng Rendang","Pack","Indonesia",4.5
"76",76,"Indomie","Meatball Flavor","Pack","Indonesia",2.5
"77",77,"Nissin","Demae Ramen Prawn","Pack","Japan",3.25
"78",78,"Nissin","Demae Ramen Seafood","Pack","Japan",2.5
"79",79,"Sapporo Ichiban","Kitsune Udon","Pack","Japan",3.25
"80",80,"Unif / Tung-I","Artificial Chicken","Pack","Taiwan",3.5
"81",81,"Unif / Tung-I","Artificial Spicy Beef","Pack","Taiwan",3.5
"82",82,"Nissin","Demae Ramen Miso","Pack","Japan",2.75
"83",83,"Nissin","Demae Ramen Spicy Flavor","Pack","Japan",2
"84",84,"Samyang","Kalgug-Su Assorted Clam","Pack","South Korea",1.8
"85",85,"Nissin","Demae Ramen Sesame","Pack","Japan",3.75
"86",86,"Unif / Tung-I","Onion Flavor","Pack","Taiwan",3.65
"87",87,"Wai Wai","Tom Yum Shrimp Cream Soup","Pack","Thailand",2.75
"88",88,"Paldo","South Korean Noodle Chicken","Pack","South Korea",3.25
"89",89,"Unif","100 Artificial Stewed Pork Chop","Pack","Taiwan",3.2
"90",90,"Long Kow","Crystal Noodle Six Kinds Of Mushrooms","Pack","China",2.3
"91",91,"Binh Tay","Mi Chay Mushroom","Pack","Vietnam",2.75
"92",92,"Fashion Food","Tom Yum Seafood Creamy","Bowl","Thailand",2
"93",93,"Payless","Xtra Big Original Pancit Canton","Pack","Philippines",4.5
"94",94,"Mama","Artificial Chicken","Pack","Thailand",2.5
"95",95,"Wei Lih","Artificial Beef Flavor","Pack","Taiwan",1
"96",96,"Saigon Ve Wong","Kung Fu Artificial Pork Flavor","Pack","Vietnam",3.75
"97",97,"Saigon Ve Wong","Kung Fu Mi Tom Chua Sour Shrimp","Pack","Vietnam",2.5
"98",98,"Unif / Tung-I","Chah Chiang","Pack","Taiwan",2.5
"99",99,"Ve Wong","Kung Fu Artificial Onion","Pack","Taiwan",2.75
"100",100,"Unif / Tung-I","Artificial Chinese Beef","Pack","Taiwan",2.85
"101",101,"Ve Wong","Artificial Sesame Chicken","Pack","Taiwan",4.25
"102",102,"Indomie","Soto Mie","Pack","Indonesia",1.5
"103",103,"Ve Wong","Vegetarian Flavor","Pack","Taiwan",3
"104",104,"Maruchan","Ramen Noodle Soup Chicken","Pack","USA",2
"105",105,"Indomie","Special Fried Curly Noodle","Pack","Indonesia",5
"106",106,"GreeNoodle","Tom Yum","Pack","Thailand",0.5
"107",107,"Ottogi","Pow Crunch Teriyaki","Pack","South Korea",1.1
"108",108,"Teriyaki Time","Ramen","Bowl","USA",2
"109",109,"Mama","Pad Thai","Pack","Thailand",3.1
"110",110,"Lucky Me!","Artificial Chicken","Pack","Philippines",1.5
"111",111,"Ottogi","Odongtongmyon Seafood Spicy","Pack","South Korea",3.25
"112",112,"Ottogi","Jiajang Noodle","Pack","South Korea",3.75
"113",113,"Nongshim","Hooroorook ","Pack","South Korea",4
"114",114,"Samyang","Kimchi","Pack","South Korea",2.9
"115",115,"Ottogi","Miso Ramyun","Pack","South Korea",2.8
"116",116,"Mama","Nam Vang","Pack","Thailand",3.6
"117",117,"Ottogi","Ramyonsari","Pack","South Korea",4
"118",118,"Paldo","Bibim Men","Pack","South Korea",3.75
"119",119,"Ve Wong","Artificial Pork & Chicken","Pack","Taiwan",3.4
"120",120,"Samyang","Beef","Pack","South Korea",4
"121",121,"Ottogi","Bekse Curry","Pack","South Korea",4
"122",122,"Doll","Shrimp Wonton","Pack","Hong Kong",4
"123",123,"Wai Wai","Minced Pork Soeng Kreung","Pack","Thailand",3.7
"124",124,"Nissin","Yakisoba With Mayonnaise/Mustard Packet","Tray","Japan",5
"125",125,"Shirakiku","Japanese Style Tokusen Karami","Pack","Japan",3
"126",126,"Mama","Tom Yam Koong Rice Vermicelli","Pack","Thailand",1.5
"127",127,"Vifon","Mi Chay Vegetarian","Pack","Vietnam",2.8
"128",128,"Mama","Artificial PA-LO Duck","Pack","Thailand",0.1
"129",129,"Nongshim","Mupama Tang Myun","Pack","South Korea",3.5
"130",130,"Sapporo Ichiban","Miso Soybean Paste","Pack","Japan",3.5
"131",131,"Unif","100 Artificial Shallot Chicken","Pack","Taiwan",3.25
"132",132,"Ve Wong","Artificial Peppered Beef","Pack","Taiwan",3.5
"133",133,"Baijia","Hot & Sour Rice Noodle","Pack","China",0
"134",134,"Global Inspiration","Gyeong-Gi-Do Rice","Bowl","South Korea",2.25
"135",135,"Unif / Tung-I","Fresh Shrimp","Pack","Taiwan",3.25
"136",136,"Mama","Shrimp Creamy Tom Yum","Pack","Thailand",5
"137",137,"Nissin","Bowl Noodles Rich & Savory Chicken","Bowl","USA",1.75
"138",138,"Unif","100 Furong Shrimp","","Taiwan",3
"139",139,"Kamfen","Noodle King Beef","Pack","China",1.75
"140",140,"Mama","Mi Goreng","Pack","Thailand",5
"141",141,"Six Fortune","Seafood Flavor","Pack","South Korea",2.5
"142",142,"Nissin","Chow Mein Teriyaki Beef","Tray","USA",4.5
"143",143,"Mama","Mamy Chand Clear Soup","Pack","Thailand",2.75
"144",144,"Nongshim","Kimchi Ramyun","Pack","South Korea",3.5
"145",145,"Sakurai","Vegetarian Flavor","Pack","Japan",3.5
"146",146,"Mama","Pho Bo","Pack","Thailand",2.5
"147",147,"Higashi","Nagasaki Sara Udon","Pack","Japan",5
"148",148,"Myojo","Okinawa Soba","Pack","Japan",3.75
"149",149,"Maruchan","Akai Kitsune Udon","Bowl","Japan",4
"150",150,"Chorip Dong","Jjambbong Hot Spicy Seafood","Bowl","South Korea",4.25
"151",151,"Shirakiku","Japanese Style Tokusen Miso","Pack","Japan",3
"152",152,"Wu Mu","Steamed Noodle Garlic & Sesame Oil","Pack","Taiwan",4.5
"153",153,"Sapporo Ichiban","Shrimp Flavor","Cup","USA",1.75
"154",154,"Nissin","Creamy Chicken","Cup","USA",1.75
"155",155,"Lucky Me!","Pancit Canton","Pack","Philippines",4.75
"156",156,"Maruchan","Instant Lunch Cajun Style With chili Piquin Shrimp","Cup","USA",3
"157",157,"Nissin","Sotanghon","Cup","Philippines",2
"158",158,"Mama","Jok Cup Porridge Artificial Pork","Cup","Thailand",2.5
"159",159,"Mama","Hot & Spicy","Pack","Thailand",1.75
"160",160,"Myojo","Ramen Desse Soy Sauce","Bowl","Japan",1.5
"161",161,"Paldo","Green Tea Chlorella","Pack","South Korea",0
"162",162,"Myojo","Chukazanmai Oriental","Pack","Japan",3.75
"163",163,"Vifon","Asian Style Instant Noodles Chicken","Pack","Vietnam",3.5
"164",164,"Unif / Tung-I","Artificial Beef Flavor","Pack","Taiwan",3.75
"165",165,"Doll","Sesame Oil","Pack","Hong Kong",3.5
"166",166,"Koyo","Garlic Pepper","Pack","USA",3.25
"167",167,"Wai Wai","Crab Instant Rice Vermicelli","Pack","Thailand",2.5
"168",168,"JFC","Japanese Style Noodle Fresh Udon","Bowl","Japan",3.75
"169",169,"Samyang","Seafood Party","Pack","South Korea",2.25
"170",170,"Myojo","Chukazanmai Soybean Paste","Pack","Japan",3.5
"171",171,"Samyang","Japanese Seafood Flavor Udon","Pack","South Korea",3.75
"172",172,"Mama","Flat Noodle Tom Yum","Pack","Thailand",3.75
"173",173,"Unif / Tung-I","Instant Bean Vermicelli Shrimp","Pack","Taiwan",1.5
"174",174,"Lucky Me!","Sotanghon Artificial Chicken","Pack","Philippines",0.25
"175",175,"Samyang","Cold Ramen With Ponytail Radish","Pack","South Korea",3
"176",176,"Paldo","Dosirac Pork","Tray","South Korea",4.125
"177",177,"Vifon","Hu Tieu Bo Kho An Lien Beef","Pack","Vietnam",3.75
"178",178,"Mama","Oriental Style Clear Soup","Pack","Thailand",2
"179",179,"Mama","Kimchi","Pack","Thailand",3
"180",180,"Myojo","Hyobanya No Yakisoba Sauce Flavor","Tray","Japan",4.75
"181",181,"Kamfen","Noodle King Thin Wonton","Pack","China",2
"182",182,"Myojo","Chukazanmai Soy Sauce chili Oil","Pack","Japan",3.25
"183",183,"Nissin","Bowl Noodles Hot & Spicy Chicken","Bowl","USA",2
"184",184,"Myojo","Chukazanmai Soy Sauce","Pack","Japan",3.75
"185",185,"Shirakiku","Sanukiya Udon","Bowl","Japan",3.75
"186",186,"Paldo","Teumsae Ramyun","Pack","South Korea",3.5
"187",187,"Paldo","Hwa Ramyun Soy Peptide","Pack","South Korea",4
"188",188,"Nongshim","Udon","Pack","South Korea",4
"189",189,"Nissin","Cup Noodles Manchurian","Cup","India",3
"190",190,"Maggi","Perencah Tom Yam","Pack","Malaysia",2.9
"191",191,"Wu Mu","Steamed Noodle Chinese Herbs","Pack","Taiwan",3.25
"192",192,"Paldo","Soy Flavor Noodle","Pack","South Korea",4.25
"193",193,"Boss","Shrimp Tom Yum Flavor","Bowl","Thailand",2.5
"194",194,"Saigon Ve Wong","Kung Fu Instant Rice Noodles Artificial Chicken","Pack","Vietnam",3.5
"195",195,"Myojo","Chukazanmai Served Cool Sesame Flavored Rice Vinegar Sesame","Pack","Japan",3
"196",196,"Nissin","Cup Noodles Pani Puri","Cup","India",1.5
"197",197,"Rhee Bros Assi","Rice Noodle With Spicy Flavored Soup","Tray","South Korea",2.25
"198",198,"Shirakiku","Sanukiya Somen","Bowl","Japan",4.25
"199",199,"Samyang","Chinese Soybean Paste","Pack","South Korea",2
"200",200,"Nongshim","Bowl Noodle Spicy Chicken","Bowl","USA",4.5
"201",201,"Nongshim","Bowl Noodle Beef Ginger","Bowl","USA",3.5
"202",202,"Nongshim","Bowl Noodle Cabbage Kimchi","Bowl","USA",3.25
"203",203,"Nongshim","Bowl Noodle Hot & Spicy","Bowl","USA",2
"204",204,"Nongshim","Bowl Noodle Spicy Shrimp","Bowl","USA",2.5
"205",205,"Sapporo Ichiban","Beef Flavor","Pack","USA",4.5
"206",206,"Bon Go Jang","Deuchi Udon","Bowl","South Korea",3
"207",207,"Sapporo Ichiban","Original Flavor","Pack","USA",3.5
"208",208,"Sao Tao","Ramen King Scallop Seafood","Pack","China",4.25
"209",209,"Nissin","Souper Meal Beef Flavor Minestrone","Bowl","USA",3
"210",210,"Rocket Brand","Satoimo Noodles","Pack","China",2.5
"211",211,"Vina Acecook","Kingcook Tomato Sauce Pork","Tray","Vietnam",3.5
"212",212,"Maruchan","Yakisoba Roast chicken","Tray","USA",3.75
"213",213,"Nongshim","Bowl Noodle Spicy Artificial Lobster","Bowl","USA",4
"214",214,"Maruchan","Yakisoba Teriyaki Beef","Tray","USA",2
"215",215,"Maruchan","Yakisoba Chicken","Tray","USA",2
"216",216,"Maruchan","Instant Lunch Roast Chicken Flavor","Cup","USA",2.75
"217",217,"Samyang","Bowl Noodle Kimchi","Bowl","South Korea",4
"218",218,"Maruchan","Yakisoba Sweet & Sour Chicken","Tray","USA",3
"219",219,"Six Fortune","Tom Yam Instant soup Noodle","Pack","South Korea",2.75
"220",220,"Wei Lih","Good Good Eat Super Ramen Original","Pack","Taiwan",3
"221",221,"Nissin","Top Ramen Beef","Pack","USA",3.75
"222",222,"Myojo","Udon Crab","Pack","Japan",3
"223",223,"Koka","Laksa Singapura","Bowl","Singapore",4.25
"224",224,"Mama","Instant Bowl Noodles Artificial Pork","Bowl","Thailand",2.75
"225",225,"Ottogi","Snack Ramyon","Pack","South Korea",3.75
"226",226,"Nissin","Chow Noodles Cheddar Cheese","Tray","USA",4
"227",227,"Quickchow","Bihon Guisado Rice Noodle","Pack","Philippines",1.75
"228",228,"Vifon","Pho Ga Instant rice Noodle","Bowl","Vietnam",2
"229",229,"Myojo","Udon Chicken","Pack","Japan",3.75
"230",230,"Lucky Me!","Supreme Instant Mami Noodles With Free Crackers","Bowl","Philippines",3.75
"231",231,"Indomie","Onion Chicken","Pack","Indonesia",4.5
"232",232,"Indomie","Mi Goreng Jumbo Beef","Pack","Indonesia",5
"233",233,"Koka","Tom Yum Rice Noodles","Bowl","Singapore",3.5
"234",234,"Myojo","Udon Shrimp","Pack","Japan",3.75
"235",235,"Koka","Curry","Pack","Singapore",4.25
"236",236,"Koka","Spicy Sesame","Pack","Singapore",5
"237",237,"Koka","Spicy Seafood Marinara","Bowl","Singapore",3
"238",238,"Nissin","Chow Noodles Tomato Basil","Bowl","USA",4
"239",239,"Ottogi","Ppushu Ppushu Sweet & Sour","Pack","South Korea",1.75
"240",240,"Sanyo Foods","Aunt Mentaiko Durum Spaghetti","Bowl","Japan",4.5
"241",241,"Fu Chang Chinese Noodle Company","Hot & Spicy Beef","Tray","USA",4
"242",242,"Fashion Foods","Tom Klong","Bowl","Thailand",2
"243",243,"Myojo","Udon Hot & Spicy","Pack","Japan",4.5
"244",244,"Nissin","Karashi Mayo Yakisoba","Tray","Japan",4.75
"245",245,"Six Fortune","Broad Noodles","Pack","South Korea",3.75
"246",246,"Mama","Artificial Pork Jumbo","Pack","Thailand",3
"247",247,"Myojo","Udon Mushroom","Pack","Japan",3
"248",248,"Koka","Tomato","Pack","Singapore",4.75
"249",249,"Unif","100 Artificial Spicy Beef","Pack","Taiwan",3.75
"250",250,"Wu Mu","Steamed Noodle Sesame Oil","Pack","Taiwan",3.75
"251",251,"Fortune","Udon Beef","Pack","USA",3.5
"252",252,"Fortune","Udon Chicken","Pack","USA",3.25
"253",253,"Nongshim","Bowl Noodle Spicy Seafood","Bowl","USA",4.25
"254",254,"Vina Acecook","Daily Hot & Spicy Tom Yun","Pack","Vietnam",4
"255",255,"Mama","Oriental Kitchen Spicy Seafood","Cup","Thailand",3.75
"256",256,"Nissin","Cup Noodles Shrimp","Cup","USA",3.5
"257",257,"Nissin","Cup Noodles Beef","Cup","USA",3.5
"258",258,"Royal Umbrella","Tom Yum Shrimp","Cup","Thailand",3.25
"259",259,"Vina Acecook","Mi Lau Thai Seafood","Pack","Vietnam",4
"260",260,"Nissin","Bowl Noodles Hot & Spicy Shrimp","Bowl","USA",3.5
"261",261,"Vina Acecook","Oh! Ricey Chicken","Pack","Vietnam",3.75
"262",262,"Vina Acecook","Daily Beef Ball","Pack","Vietnam",3.75
"263",263,"Nissin","Chow Mein Kung Pao Chicken","Tray","USA",1.5
"264",264,"Vina Acecook","Hao Hao Sour Hot Shrimp","Pack","Vietnam",3.75
"265",265,"Nissin","Cup Noodles Chicken","Cup","USA",3.5
"266",266,"Vina Acecook","Mi Lau Thai Shrimp","Pack","Vietnam",4
"267",267,"Mama","Pork","Cup","Thailand",2
"268",268,"Nissin","Cup Noodles Spicy Chile Chicken","Cup","USA",3.5
"269",269,"Paldo","Spicy Shrimp Bowl","Bowl","South Korea",3.5
"270",270,"Wu Mu","Dried Noodle With BBQ Pork","Pack","Taiwan",2
"271",271,"Paldo","South Korean Noodle Kimchi Flavor","Pack","South Korea",3.5
"272",272,"Vina Acecook","Mi Lau Thai Artificial Chicken","Pack","Vietnam",3.5
"273",273,"Wai Wai","Minced Pork Tom Yum","Pack","Thailand",2.5
"274",274,"Ve Wong","Kung Fu Artificial Soybean Paste","Pack","Taiwan",4
"275",275,"Mama","Cup Shrimp Tom Yum Flavor","Cup","Thailand",3.75
"276",276,"Wai Wai","Chili Paste Tom Yum","Pack","Thailand",3.25
"277",277,"Vina Acecook","Oh! Ricey Beef Rice Noodles","Pack","Vietnam",4
"278",278,"Fortune","Udon Mushroom","Pack","USA",3
"279",279,"Rhee Bros Assi","Rice Noodles Seafood","Tray","South Korea",3.75
"280",280,"Rhee Bros Assi","Rice Noodle Katsuo","Tray","South Korea",4
"281",281,"Mama","Oriental Kitchen Hot Spicy","Cup","Thailand",3
"282",282,"Doll","Pickled Vegetable","Pack","Hong Kong",4.25
"283",283,"Paldo","King Cup Kimchi Pot Stew","Cup","South Korea",4
"284",284,"Nissin","Cup Noodles Seafood","Cup","Hong Kong",4.5
"285",285,"Doll","Artificial Chicken","Pack","Hong Kong",4.5
"286",286,"Myojo","Hyoubanya No Yakisoba Oriental","Tray","Japan",4
"287",287,"Paldo","King Cup Lobster","Cup","South Korea",3.75
"288",288,"Saigon Ve Wong","Kung Fu Artificial Beef Rice Noodle","Pack","South Korea",3.25
"289",289,"Paldo","South Korean Broad Noodle","Pack","South Korea",2
"290",290,"Doll","Spicy Artificial Beef","Pack","Hong Kong",3
"291",291,"Nongshim","Shin Bowl","Bowl","South Korea",3
"292",292,"Paldo","South Korean U Dong","Pack","South Korea",3.75
"293",293,"Tiger","Onion Flaver Rice Noodle","Bowl","Taiwan",0
"294",294,"Paldo","South Korean Seafood","Pack","South Korea",3.75
"295",295,"Tablemark","Soybean Paste","Bowl","Japan",4.5
"296",296,"Nissin","Cup Noodles Crab","Cup","Hong Kong",3.25
"297",297,"Rhee Bros Assi","Rice Noodle Hot & Spicy Kimchi","Tray","South Korea",3.25
"298",298,"Nongshim","Hearty Rice Noodle Spicy Veggie Consomme","Pack","South Korea",2.75
"299",299,"Lucky Me!","Supreme Sotanghon Artificial Chicken Vermicelli ","Bowl","Philippines",3.75
"300",300,"Wu Mu","Steam Spinach Ramen With Onion","Pack","Taiwan",5
"301",301,"Dragonfly","Guilin Style Rice Vermicelli","Bowl","China",4.5
"302",302,"Samyang","Bowl Noodle Picante Beef","Bowl","South Korea",3.75
"303",303,"Paldo","Dosirac Artificial Chicken","Tray","South Korea",3.25
"304",304,"Mama","Pho Bo Rice Noodle Artificial Beef","Bowl","Thailand",3.5
"305",305,"Lucky Me!","Supreme Special Beef Carne De Vaca","Bowl","Philippines",3.75
"306",306,"Rhee Bros Assi","Rice Noodle Anchovy Flavor","Tray","South Korea",3.75
"307",307,"Royal Umbrella","Vegetarian Tom Yum","Cup","Thailand",2.75
"308",308,"Tradition","Imitation Chicken Vegetarian","Pack","USA",3.75
"309",309,"Paldo","Dosirac Beef","Tray","South Korea",3.75
"310",310,"Lucky Me!","La Paz Batchoy Beef","Pack","Philippines",2.5
"311",311,"Vifon","Tasty Mushroom","Pack","Vietnam",2
"312",312,"Lucky Me!","Supreme Bulalo Artificial Bone Marrow","Bowl","Philippines",1.75
"313",313,"Paldo","Dosirac Shrimp","Tray","South Korea",4.25
"314",314,"Paldo","Dosirac Mushroom","Tray","South Korea",2.5
"315",315,"Unif","Super Bowl Artificial Spicy Beef","Bowl","Taiwan",2.75
"316",316,"Unif","Super Bowl Artificial Stewed Pork Chop","Bowl","Taiwan",3.5
"317",317,"Maruchan","Yakisoba Cheddar Cheese","Tray","USA",4
"318",318,"Unif","Super Bowl Artificial Pickled Chilli Beef","Bowl","Taiwan",3.25
"319",319,"Maruchan","Ramen Noodle Soup Oriental","Pack","USA",3.75
"320",320,"Maruchan","Ramen Noodle Soup Spicy Picante Chicken","Pack","USA",4
"321",321,"Little Cook","TVP Spicy Beef","Bowl","Thailand",4.75
"322",322,"Unif","Shrimp Fish","Bowl","Taiwan",3.75
"323",323,"Ottogi","Jin Ramen (Hot)","Cup","South Korea",3.5
"324",324,"Nongshim","Big Bowl Spicy Shrimp","Bowl","South Korea",3.5
"325",325,"Mee Jang","Artificial Pork","Bowl","Thailand",3.5
"326",326,"Little Cook","TVP Curry Chicken","Bowl","Thailand",4
"327",327,"Gomex","3 Mien Mi Tom Hum Lobster","Pack","Vietnam",3.5
"328",328,"Nongshim","Big Bowl Udon","Bowl","South Korea",4.5
"329",329,"Mee Jang","Artificial Beef Flavor","Bowl","Thailand",3.5
"330",330,"Vifon","Phu Gia Instant Bean Thread Chicken","Pack","Vietnam",3.25
"331",331,"Sunlee","Crab Noodle","Bowl","Thailand",4.5
"332",332,"Nongshim","Champong Oriental Noodles","Cup","South Korea",3.75
"333",333,"Nissin","Big Cup Noodles Shrimp","Cup","USA",2.25
"334",334,"Nissin","Big Cup Noodles Beef","Cup","USA",2.125
"335",335,"Goku Uma","Hot & Spicy Beef","Bowl","Japan",3.5
"336",336,"Six Fortune","Instant Noodles With Soup","Pack","South Korea",3.5
"337",337,"Maruchan","Ramen Noodle Soup Creamy Chicken","Pack","USA",5
"338",338,"Nissin","Big Cup Noodles Chicken","Cup","USA",2.25
"339",339,"Payless","Xtra Big Chilimansi Pancit Canton","Pack","Philippines",4.5
"340",340,"Shirakiku","Japanese Style Tokusen Shoyu","Pack","Japan",4
"341",341,"Vina Acecook","Daily Vegetarian","Pack","Vietnam",3.75
"342",342,"Nongshim","Shin Big Bowl","Bowl","South Korea",3.5
"343",343,"Super Bihun","Goreng Rice Noodles","Pack","Indonesia",4.5
"344",344,"Paldo","Stirfried Kimchi","Pack","South Korea",3.75
"345",345,"Myojo","Charumera Shoyu","Pack","Japan",3.5
"346",346,"Paldo","Bowl Noodle Spicy Artificial Chicken","Bowl","South Korea",3.125
"347",347,"Sunny Maid","Mi Chay Vegetarian","Pack","Taiwan",1.75
"348",348,"Paldo","Bowl Noodle Kimchi","Bowl","South Korea",3.5
"349",349,"Ottogi","Ramen Bokki","Bowl","South Korea",3.25
"350",350,"Nissin","Souper Meal Tomato Garlic Shrimp","Bowl","USA",3.5
"351",351,"Nissin","Top Ramen Picante Beef","Pack","USA",3
"352",352,"Maruchan","Ramen Noodle Soup Chili","Pack","USA",2.75
"353",353,"Nissin","Top Ramen Chili","Pack","USA",3.25
"354",354,"Maruchan","Instant Lunch Chicken 35% Less Sodium","Cup","USA",3
"355",355,"Nongshim","Noodle Lite 275 Udon Mushroom","Bowl","South Korea",2.5
"356",356,"Maruchan","Ramen Noodle Soup Roast Beef","Pack","USA",2.75
"357",357,"Payless","Xtra Big Kalamansi Pancit Canton","Pack","Philippines",4
"358",358,"Doll","Spicy Artificial Pork","Pack","Hong Kong",3.75
"359",359,"Nissin","Bowl Noodles Hot & Spicy Beef","Bowl","USA",3.75
"360",360,"Nissin","Cup Noodles Hearty Chicken","Cup","USA",2.5
"361",361,"Tayho","Vermicelli With Pork","Bowl","USA",1.25
"362",362,"Vina Acecook","Daily Hot & Sour With Shrimp","Pack","Vietnam",4.5
"363",363,"Nissin","Demae Iccho Tonkotsu Macaroni","Pack","Japan",3.5
"364",364,"Sao Tao","Noodle King Beef Hong Kong Style","Bowl","Hong Kong",2.5
"365",365,"Nissin","Cup Noodles Prawn","Cup","Singapore",3.25
